naive, kmp, n size
0.000123, 0.000210, 10000
0.000170, 0.000283, 60000
0.000322, 0.000515, 110000
0.000551, 0.000727, 160000
0.000571, 0.000942, 210000
0.000677, 0.001125, 260000
0.000759, 0.001224, 310000
0.000822, 0.001350, 360000
0.000904, 0.001492, 410000
0.001019, 0.001674, 460000
0.001157, 0.001893, 510000
0.001356, 0.002043, 560000
0.001356, 0.002222, 610000
0.001464, 0.002403, 660000
0.001616, 0.002726, 710000
0.001741, 0.002858, 760000
0.001855, 0.003046, 810000
0.001966, 0.003304, 860000
0.002091, 0.003425, 910000
0.002239, 0.003622, 960000
